First,Last,URL
Andrew,Gelman,http://andrewgelman.com/
Bradley,Efron,http://statweb.stanford.edu/~ckirby/brad/
Brian,Ripley,http://www.stats.ox.ac.uk/~ripley/
David M.,Smith,https://twitter.com/revodavid
David,Madigan,http://www.stat.columbia.edu/~madigan/
Dirk,Eddelbuettel,http://dirk.eddelbuettel.com/
Donald,Knuth,http://www-cs-faculty.stanford.edu/~knuth/
Drew,Conway,http://drewconway.com/
Duncan,Murdoch,http://www.stats.uwo.ca/faculty/murdoch/
Edward,Tufte,http://www.edwardtufte.com/tufte/
Francis,Galton,http://en.wikipedia.org/wiki/Francis_Galton
Romain,Francois,http://romainfrancois.blog.free.fr/
Hadley,Wickham,http://had.co.nz/
J.A.,Hartigan,
JJ,Allaire,http://en.wikipedia.org/wiki/Joseph_J._Allaire
Jeffrey,Arnold,http://www.jrnold.me/about.html
Jennifer,Hill,http://steinhardt.nyu.edu/faculty_bios/view/Jennifer_Hill
Jerome,Friedman,http://statweb.stanford.edu/~jhf/
John,Chambers,http://statweb.stanford.edu/~jmc4/vitae.html
John,MacFarlane,http://johnmacfarlane.net/
John Myles,White,http://www.johnmyleswhite.com/
John,Tukey,http://www-history.mcs.st-and.ac.uk/Biographies/Tukey.html
Josh,Reich,https://twitter.com/i2pi
Karl,Pearson,http://www.ucl.ac.uk/statistics/department/pearson
Mike,Dewar,http://mikedewar.org/
Patrick,Burns,http://www.burns-stat.com/
Ramnath,Vaidyanathan,http://people.mcgill.ca/ramnath.vaidyanathan/
Robert,Gentleman,http://www.gene.com/scientists/our-scientists/robert-gentleman
Robert,Tibshirani,http://statweb.stanford.edu/~tibs/
Ronald A.,Fisher,http://www-history.mcs.st-andrews.ac.uk/Biographies/Fisher.html
Ross,Ihaka,https://www.stat.auckland.ac.nz/~ihaka/
Trevor,Hastie,http://www.stanford.edu/~hastie/
Uwe,Ligges,http://www.statistik.tu-dortmund.de/ligges0.html
William,Gosset,http://en.wikipedia.org/wiki/William_Sealy_Gosset
William N.,Venables,http://www.csiro.au/Organisation-Structure/Divisions/Computational-Informatics/CCI-People/BillVenables.aspx
Yihui,Xie,http://yihui.name/
